time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
2.315015,-0.056452,0.045758,-0.118481,-0.149458
2.320014,-0.057075,0.045299,-0.128753,-0.162612
2.325014,-0.057749,0.044293,-0.138728,-0.178819
2.330014,-0.058472,0.043556,-0.148356,-0.186262
2.335013,-0.059242,0.042417,-0.157678,-0.196175
2.340013,-0.060057,0.041634,-0.166529,-0.208794
2.345012,-0.060915,0.040351,-0.174807,-0.220220
2.350012,-0.061812,0.039402,-0.182471,-0.239565
2.355012,-0.062746,0.037942,-0.189527,-0.250740
2.360011,-0.063713,0.036956,-0.195984,-0.256151
2.365011,-0.064711,0.035389,-0.201915,-0.270166
2.370011,-0.065737,0.034163,-0.207263,-0.284328
2.375010,-0.066787,0.032438,-0.211973,-0.293256
2.380010,-0.067860,0.031412,-0.215995,-0.292799
2.385010,-0.068950,0.029647,-0.219315,-0.296167
2.390009,-0.070054,0.029067,-0.221860,-0.278233
2.395009,-0.071169,0.027392,-0.223617,-0.283336
2.400008,-0.072291,0.026268,-0.224545,-0.286792
2.405008,-0.073414,0.022871,-0.224679,-0.274266
2.410008,-0.074536,0.021686,-0.224043,-0.275281
2.415007,-0.075652,0.020032,-0.222709,-0.276685
2.420007,-0.076760,0.019127,-0.220776,-0.280896
2.425007,-0.077857,0.017453,-0.218357,-0.276811
2.430006,-0.078940,0.016178,-0.215510,-0.263238
2.435006,-0.080008,0.014603,-0.212266,-0.260430
2.440006,-0.081059,0.013561,-0.208681,-0.255533
2.445005,-0.082091,0.012036,-0.204814,-0.251944
2.450005,-0.083103,0.010907,-0.200722,-0.270651
2.455004,-0.084094,0.009290,-0.196388,-0.267870
2.460004,-0.085062,0.008310,-0.191859,-0.260395
2.465004,-0.086007,0.006756,-0.187194,-0.257047
2.470003,-0.086929,0.005760,-0.182351,-0.257643
2.475003,-0.087825,0.004225,-0.177273,-0.253632
